product_name,brand,powertrain,source,product_id
欧拉R2,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,189
几何EX3,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,190
朋克多多,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,191
长安欧尚A600EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,192
朋克美美,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,193
吉利博瑞GE,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,194
雷凌PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,195
发现神行,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,196
赛力斯SF5,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,197
国机智骏GC1,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,198
标致4008 PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,199
天逸C5 AIRCROSS PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,200
百智大熊,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,201
梦想家,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,202
国机智骏GX5,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,203
星越 PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,204
东风风光E3,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,205
北汽EC系列,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,206
思皓E40X,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,207
北汽EX系列,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,208
日产轩逸,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,209
艾瑞泽5e,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,210
缤越PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,211
零跑S01,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,212
宝马X1,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,213
